gemeinde_name,gemeinde_typ,landkreis_schluessel,gemeinde_schluessel,dach_flaeche_qm,dach_leistung_amtlich_kwp,dach_menge_amtlich_mwh,frei_flaeche_qm,frei_leistung_amtlich_kwp,bestand_csv_dach_anzahl,bestand_csv_dach_kwp,bestand_csv_balkon_anzahl,bestand_csv_balkon_kwp,bestand_csv_frei_anzahl,bestand_csv_frei_kwp,bestand_dach_kwp_gesamt,bestand_gesamt_kwp,ausschoepfung_dach_prozent
Milower Land,Amtsfreie Gemeinde,12063,12063189,500455.5,99098.8,75074.8903,101992000.0,209391.4,344,7333.37,120,133.22,13,114215.12,7333.37,121681.71,7.4
Mühlenberge,Gemeinde,12063,12063202,96920.1,19230.4,14643.2941,27402420.0,425.5,71,3953.8,24,22.93,0,0.0,3953.8,3976.73,20.56
Nauen,Amtsfreie Stadt,12063,12063208,1371028.5,271796.8,210584.4708,212384480.0,2680859.0,820,25871.84,386,429.55,19,249813.93,25871.84,276115.32,9.52
Nennhausen,Gemeinde,12063,12063212,230498.0,45688.8,34768.483,61873940.0,5718.2,138,5307.24,53,63.94,0,0.0,5307.24,5371.18,11.62
Paulinenaue,Gemeinde,12063,12063228,125905.4,24947.6,19231.3435,27296480.0,10987.3,87,4555.75,38,39.13,0,0.0,4555.75,4594.88,18.26
Pessin,Gemeinde,12063,12063240,73783.5,14616.0,11061.3322,15854240.0,4459.1,45,726.07,24,27.74,0,0.0,726.07,753.81,4.97
Premnitz,Amtsfreie Stadt,12063,12063244,547139.4,108422.4,84645.0785,22133190.0,36661.8,317,5437.61,199,213.77,1,749.01,5437.61,6400.39,5.02
Rathenow,Amtsfreie Stadt,12063,12063252,1382820.8,273860.4,214295.9463,72992970.0,5599.1,903,15686.7,531,583.02,7,13046.93,15686.7,29316.65,5.73
Retzow,Gemeinde,12063,12063256,60178.9,11944.4,9254.1795,12012890.0,2266.4,27,1419.83,16,23.85,0,0.0,1419.83,1443.68,11.89
Rhinow,Stadt,12063,12063260,162672.4,32240.8,24986.5889,21478790.0,0.0,99,2969.07,19,29.14,0,0.0,2969.07,2998.21,9.21
Schönwalde-Glien,Amtsfreie Gemeinde,12063,12063273,525246.9,103932.8,77838.1998,53113910.0,167299.6,807,11686.17,296,339.54,0,0.0,11686.17,12025.71,11.24
Seeblick,Gemeinde,12063,12063274,119694.3,23758.0,18049.9679,31666670.0,0.0,114,4339.94,28,32.36,0,0.0,4339.94,4372.3,18.27
Stechow-Ferchesar,Gemeinde,12063,12063293,83964.0,16574.0,12597.4707,18456840.0,0.0,81,1528.12,35,36.42,0,0.0,1528.12,1564.54,9.22
Wustermark,Amtsfreie Gemeinde,12063,12063357,817897.5,162449.6,128816.3825,46806230.0,1080123.4,594,10781.47,288,330.97,5,19071.82,10781.47,30184.26,6.64
Alt Tucheband,Gemeinde,12064,12064009,87522.9,17336.4,12825.9721,27748560.0,20891.0,64,2273.57,22,28.08,0,0.0,2273.57,2301.65,13.11
Altlandsberg,Amtsfreie Stadt,12064,12064029,670371.7,132475.2,102628.9606,64523060.0,2655112.6,746,10214.46,343,425.5,1,2352.26,10214.46,12992.22,7.71
Bad Freienwalde (Oder),Amtsfreie Stadt,12064,12064044,944136.6,186755.2,143538.7264,70467970.0,84797.3,458,15380.58,156,188.46,5,2982.23,15380.58,18551.27,8.24
Beiersdorf-Freudenberg,Gemeinde,12064,12064053,78382.6,15538.4,11775.5641,17538570.0,679648.7,41,2544.59,8,9.62,0,0.0,2544.59,2554.21,16.38
Bleyen-Genschmar,Gemeinde,12064,12064057,70492.6,13952.4,10562.724,25368920.0,0.0,32,3578.87,8,9.56,1,748.44,3578.87,4336.87,25.65
Bliesdorf,Gemeinde,12064,12064061,136660.0,27085.6,20894.7443,29247780.0,787338.3,74,1933.41,20,22.31,18,46633.82,1933.41,48589.54,7.14
Buckow (Märkische Schweiz),Stadt,12064,12064084,100437.0,19816.4,14476.8645,5231790.0,0.0,85,1091.86,28,32.86,0,0.0,1091.86,1124.72,5.51
Falkenberg,Gemeinde,12064,12064125,206681.0,40845.6,30811.96,35290570.0,852892.0,120,2690.03,42,50.85,0,0.0,2690.03,2740.88,6.59
Falkenhagen (Mark),Gemeinde,12064,12064128,104820.6,20782.0,15557.9708,16008680.0,777402.4,38,1412.78,17,14.99,4,73445.66,1412.78,74873.43,6.8
Fichtenhöhe,Gemeinde,12064,12064130,61863.5,12244.4,9343.361,21532500.0,965239.2,44,2161.98,18,22.36,1,719.28,2161.98,2903.62,17.66
Fredersdorf-Vogelsdorf,Amtsfreie Gemeinde,12064,12064136,795814.9,156856.0,121374.4117,9384590.0,152131.0,1248,10990.0,516,595.71,0,0.0,10990.0,11585.71,7.01
Garzau-Garzin,Gemeinde,12064,12064153,62695.6,12418.4,9315.2276,19115840.0,106964.2,52,1337.72,17,15.45,3,14681.66,1337.72,16034.83,10.77
Golzow,Gemeinde,12064,12064172,114890.5,22821.6,17273.5343,16111070.0,304789.9,53,4979.57,27,23.57,2,1607.44,4979.57,6610.58,21.82
Gusow-Platkow,Gemeinde,12064,12064190,158510.8,31379.2,23465.2657,30329770.0,426042.1,54,3061.62,41,52.97,8,33017.13,3061.62,36131.72,9.76
Heckelberg-Brunow,Gemeinde,12064,12064205,88121.2,17474.0,13266.4573,23488370.0,1074028.1,68,2595.37,14,17.75,0,0.0,2595.37,2613.12,14.85
Höhenland,Gemeinde,12064,12064222,120448.8,23814.8,18327.431,30548330.0,1371419.1,93,2984.09,24,26.71,0,0.0,2984.09,3010.8,12.53
Hoppegarten,Amtsfreie Gemeinde,12064,12064227,997994.7,197785.2,156226.6387,17490750.0,250034.4,1181,11654.84,443,506.84,0,0.0,11654.84,12161.68,5.89
Küstriner Vorland,Gemeinde,12064,12064266,325389.7,64481.6,49213.2618,40086640.0,177421.4,190,4784.44,71,74.64,3,44917.0,4784.44,49776.08,7.42
Lebus,Stadt,12064,12064268,272827.5,53950.8,41195.8307,46362280.0,1671731.9,250,7221.74,123,142.1,0,0.0,7221.74,7363.84,13.39
